note_id,#diary_id,#author_id,#note_date,#people
"181204",#"859",#"849",#"1822-01-31",#"браунберг->1"
"181205",#"859",#"849",#"1822-02-01",#
"181206",#"859",#"849",#"1822-02-02",#
"181207",#"859",#"849",#"1822-02-03",#
"181208",#"859",#"849",#"1822-02-04",#
"181209",#"859",#"849",#"1822-02-05",#
"181210",#"859",#"849",#"1822-02-06",#"фрауендорф->1"
"181211",#"859",#"849",#"1822-02-07",#
"181212",#"859",#"849",#"1822-02-08",#
"181213",#"859",#"849",#"1822-02-10",#
"181214",#"859",#"849",#"1822-02-16",#
"181215",#"859",#"849",#"1822-02-17",#
"181216",#"859",#"849",#"1822-02-18",#"тургенев->1"
"181217",#"859",#"849",#"1822-02-19",#"карамзин->1,козлов->1"
"181218",#"859",#"849",#"1822-02-21",#
"181219",#"859",#"849",#"1822-02-22",#"блудов->2,карамзин->1,кривцов->1"
"181220",#"859",#"849",#"1825-12-28",#"константин павлович->3,константин->5,александр->2,россия->1,михаил павлович->1,николай->2,великий->1,михаил павлович князь->1,булгаков->3,бестужев->3,щепин->1,оболенский->2,рылеев->2,кюхельбекер->3,панов->3,шторхома->1,мария фёдоровна->1,булат->1,трубецкой->1,голицын->2,карамзин->2,елисавета->1"
"181221",#"859",#"849",#"1826-05-09",#"карамзин->1"
"181222",#"859",#"849",#"1826-05-10",#"карамзин->1,тургенев->1,блудов->1"
"181223",#"859",#"849",#"1826-05-11",#"карамзин->1,тургенев->1,тимирязев->1"
"181224",#"859",#"849",#"1826-05-12",#"толбухин->1,ораниенбаум->1,александр->1,карамзин->2"
"181225",#"859",#"849",#"1826-05-13",#"сиксара->1"
"181226",#"859",#"849",#"1826-05-14",#
"181227",#"859",#"849",#"1826-05-15",#
"181228",#"859",#"849",#"1826-05-16",#
"181229",#"859",#"849",#"1826-05-17",#
"181230",#"859",#"849",#"1826-05-18",#
"181231",#"859",#"849",#"1826-05-19",#"оланда->1"
"181232",#"859",#"849",#"1826-05-20",#
"181233",#"859",#"849",#"1826-05-21",#
"181234",#"859",#"849",#"1826-05-22",#"эльзинер->2,габба->1"
"181235",#"859",#"849",#"1826-05-23",#"санти->2,степан карпович сабинин->1,розенборг->1,дюбарри->1"
"181236",#"859",#"849",#"1826-05-24",#"санти->1"
"181237",#"859",#"849",#"1826-05-25",#
"181238",#"859",#"849",#"1826-05-26",#"лунд->1,санти->1"
"181239",#"859",#"849",#"1826-05-27",#"санти->1"
"181240",#"859",#"849",#"1826-05-28",#
"181241",#"859",#"849",#"1826-05-29",#"овербеков->1,кутузова->1"
"181242",#"859",#"849",#"1826-05-30",#"клаудиусов->1,штольберг->1,фома кемпийский->1,голицына->1,шиллер->1,шварц->1,гольман->1,шмитта->1,шекспиров->1,шиллеров->1,валленштейн->1"
"181243",#"859",#"849",#"1826-05-31",#
"181244",#"859",#"849",#"1826-06-01",#"офруа->1,лобанов->1"
"181245",#"859",#"849",#"1826-06-02",#"штруве->1"
"181246",#"859",#"849",#"1826-06-03",#"гарбург->1"
"181247",#"859",#"849",#"1826-06-04",#
"181248",#"859",#"849",#"1826-06-05",#
"181249",#"859",#"849",#"1826-06-06",#"минден->2,дрансфельд->1"
"181250",#"859",#"849",#"1826-06-07",#
"181251",#"859",#"849",#"1826-06-08",#"есберг->1"
"181252",#"859",#"849",#"1826-06-09",#
"181253",#"859",#"849",#"1826-06-10",#
"181254",#"859",#"849",#"1826-06-11",#"карамзин->1"
"181255",#"859",#"849",#"1826-06-12",#"клара->1,штейн->1"
"181256",#"859",#"849",#"1826-06-13",#"тюмплинга->1,эглофштейн->1"
"181257",#"859",#"849",#"1826-06-14",#"эглофштейн->1,стурдзе->1"
"181258",#"859",#"849",#"1826-06-17",#"лана->1"
